"Date,Open,High,Low,Close,Adj Close,Volume"
"Apr 25, 2025,1.5700,1.8000,1.2800,1.4800,1.4800,272023049"
"Apr 24, 2025,0.4190,1.1300,0.4160,0.8520,0.8520,287460900"
"Apr 23, 2025,0.4560,0.4850,0.4120,0.4260,0.4260,1944000"
"Apr 22, 2025,0.4050,0.4980,0.3900,0.4570,0.4570,3322500"
"Apr 21, 2025,0.5500,0.6090,0.4000,0.4200,0.4200,8340400"
"Apr 17, 2025,0.6200,0.6380,0.5330,0.5580,0.5580,13414900"
"Apr 16, 2025,0.5130,0.7980,0.4770,0.6870,0.6870,244462900"
"Apr 15, 2025,0.4100,0.4560,0.4100,0.4220,0.4220,5449800"
"Apr 14, 2025,0.4000,0.4240,0.3700,0.3970,0.3970,1146700"
"Apr 11, 2025,0.3230,0.3600,0.2800,0.3600,0.3600,650400"
"Apr 10, 2025,0.3300,0.3370,0.3000,0.3120,0.3120,148500"
"Apr 9, 2025,0.2950,0.3280,0.2950,0.3270,0.3270,267600"
"Apr 8, 2025,0.2960,0.4160,0.2900,0.3000,0.3000,770800"
"Apr 7, 2025,0.3200,0.3200,0.2700,0.2970,0.2970,514600"
"Apr 4, 2025,0.3740,0.4000,0.3050,0.3300,0.3300,950700"
"Apr 3, 2025,0.3900,0.3960,0.3660,0.3760,0.3760,183200"
"Apr 2, 2025,0.3900,0.4100,0.3860,0.3960,0.3960,235300"
"Apr 1, 2025,0.3990,0.4400,0.3800,0.3900,0.3900,481300"
"Mar 31, 2025,0.4000,0.5800,0.3710,0.4010,0.4010,7868300"
"Mar 28, 2025,0.4270,0.4370,0.4110,0.4110,0.4110,78500"
"Mar 27, 2025,0.4160,0.4400,0.4100,0.4310,0.4310,196000"
"Mar 26, 2025,0.4420,0.4510,0.4110,0.4280,0.4280,57200"
"Mar 25, 2025,0.4600,0.4600,0.4280,0.4420,0.4420,106200"
"Mar 24, 2025,0.4800,0.4800,0.4400,0.4530,0.4530,295500"
"Mar 21, 2025,0.4200,0.4790,0.4200,0.4600,0.4600,350500"
"Mar 20, 2025,0.4100,0.4400,0.4100,0.4300,0.4300,108200"
"Mar 19, 2025,0.4180,0.4440,0.3800,0.4210,0.4210,370300"
"Mar 18, 2025,0.4480,0.4480,0.4110,0.4300,0.4300,37700"
"Mar 17, 2025,0.4150,0.4540,0.4150,0.4300,0.4300,238900"
"Mar 14, 2025,0.4000,0.4190,0.3900,0.4150,0.4150,193900"
"Mar 13, 2025,0.3800,0.4000,0.3800,0.3870,0.3870,98400"
"Mar 12, 2025,0.3940,0.3950,0.3800,0.3830,0.3830,95000"
"Mar 11, 2025,0.3900,0.3940,0.3850,0.3880,0.3880,86600"
"Mar 10, 2025,0.4000,0.4100,0.3940,0.3970,0.3970,130500"
"Mar 7, 2025,0.3900,0.4040,0.3870,0.4040,0.4040,125600"
"Mar 6, 2025,0.4000,0.4100,0.3860,0.3940,0.3940,155000"
"Mar 5, 2025,0.3900,0.4100,0.3900,0.3970,0.3970,63400"
"Mar 4, 2025,0.4000,0.4040,0.3830,0.3900,0.3900,133000"
"Mar 3, 2025,0.4380,0.4380,0.3830,0.3950,0.3950,191900"
"Feb 28, 2025,0.4460,0.4470,0.4100,0.4180,0.4180,361000"
"Feb 27, 2025,0.4320,0.4500,0.4300,0.4380,0.4380,291100"
"Feb 26, 2025,0.4350,0.4380,0.4130,0.4250,0.4250,277000"
"Feb 25, 2025,0.4610,0.4610,0.4300,0.4350,0.4350,223500"
"Feb 24, 2025,0.4730,0.4830,0.4310,0.4400,0.4400,539700"
"Feb 21, 2025,0.5000,0.5100,0.4700,0.4800,0.4800,151900"
"Feb 20, 2025,0.5300,0.5430,0.4760,0.4880,0.4880,357300"
"Feb 19, 2025,0.5450,0.5500,0.5240,0.5330,0.5330,231000"
"Feb 18, 2025,0.4800,0.5610,0.4800,0.5340,0.5340,482900"
"Feb 14, 2025,0.4700,0.4900,0.4670,0.4810,0.4810,162100"
"Feb 13, 2025,0.4500,0.4800,0.4500,0.4800,0.4800,193800"
"Feb 12, 2025,0.4790,0.4900,0.4430,0.4500,0.4500,242000"
"Feb 11, 2025,0.4770,0.4990,0.4660,0.4700,0.4700,132400"
"Feb 10, 2025,0.4420,0.4880,0.4420,0.4750,0.4750,236900"
"Feb 7, 2025,0.4800,0.4990,0.4410,0.4420,0.4420,284100"
"Feb 6, 2025,0.5000,0.5200,0.4660,0.4800,0.4800,259500"
"Feb 5, 2025,0.5200,0.5400,0.5000,0.5100,0.5100,148900"
"Feb 4, 2025,0.5200,0.5500,0.5200,0.5280,0.5280,102800"
"Feb 3, 2025,0.5100,0.5400,0.5090,0.5310,0.5310,88500"
"Jan 31, 2025,0.5500,0.5610,0.5300,0.5300,0.5300,90200"
"Jan 30, 2025,0.5400,0.5650,0.5150,0.5450,0.5450,127700"
"Jan 29, 2025,0.5800,0.5950,0.5350,0.5450,0.5450,221300"
"Jan 28, 2025,0.5900,0.6000,0.5700,0.5900,0.5900,284400"
"Jan 27, 2025,0.5600,0.6200,0.5600,0.5900,0.5900,132300"
"Jan 24, 2025,0.6000,0.6500,0.5800,0.6100,0.6100,121700"
"Jan 23, 2025,0.5800,0.6200,0.5700,0.6000,0.6000,115700"
"Jan 22, 2025,0.5800,0.6000,0.5700,0.5900,0.5900,63300"
"Jan 21, 2025,0.5900,0.6200,0.5800,0.6100,0.6100,95300"
"Jan 20, 2025,0.6000,0.6500,0.5900,0.6200,0.6200,123000"
"Jan 17, 2025,0.6300,0.6300,0.5900,0.6100,0.6100,84100"
"Jan 16, 2025,0.5900,0.6300,0.5900,0.6200,0.6200,105100"
"Jan 15, 2025,0.6200,0.6600,0.6000,0.6500,0.6500,108800"
"Jan 14, 2025,0.6400,0.6600,0.6200,0.6400,0.6400,93600"
"Jan 13, 2025,0.6400,0.6600,0.6200,0.6300,0.6300,99900"
"Jan 10, 2025,0.6100,0.6500,0.6000,0.6400,0.6400,86900"
"Jan 9, 2025,0.6100,0.6300,0.5900,0.6000,0.6000,87500"
"Jan 8, 2025,0.5900,0.6000,0.5700,0.5800,0.5800,92300"
"Jan 7, 2025,0.5800,0.6100,0.5800,0.6000,0.6000,76300"
"Jan 6, 2025,0.5900,0.6000,0.5800,0.6000,0.6000,70800"
"Jan 3, 2025,0.5800,0.5900,0.5700,0.5800,0.5800,74600"
"Jan 2, 2025,0.5700,0.5800,0.5600,0.5700,0.5700,58000"
"Jan 1, 2025,0.5600,0.5700,0.5500,0.5600,0.5600,52000"
"Dec 31, 2024,0.6610,0.7600,0.6010,0.7200,0.7200,2527800"
"Dec 30, 2024,0.6300,0.6590,0.5500,0.6500,0.6500,3224500"
"Dec 27, 2024,0.6210,0.6900,0.5610,0.6280,0.6280,7161300"
"Dec 26, 2024,0.4100,0.5800,0.4100,0.4810,0.4810,16298200"
"Dec 24, 2024,0.3740,0.4400,0.3730,0.4050,0.4050,1470100"
"Dec 23, 2024,0.3450,0.3700,0.3410,0.3480,0.3480,619900"
"Dec 20, 2024,0.3500,0.3570,0.3350,0.3570,0.3570,336500"
"Dec 19, 2024,0.3630,0.3750,0.3510,0.3610,0.3610,365600"
"Dec 18, 2024,0.3500,0.3960,0.3400,0.3700,0.3700,1807800"
"Dec 17, 2024,0.3220,0.3400,0.3200,0.3390,0.3390,472600"
"Dec 16, 2024,0.3590,0.3670,0.3100,0.3320,0.3320,1233000"
"Dec 13, 2024,0.3610,0.3800,0.3240,0.3500,0.3500,1005800"
"Dec 12, 2024,0.3800,0.4630,0.3700,0.3700,0.3700,997700"
"Dec 11, 2024,0.3790,0.3990,0.3270,0.3790,0.3790,1447400"
"Dec 10, 2024,0.4180,0.4360,0.3800,0.3850,0.3850,957600"
"Dec 9, 2024,0.4900,0.4930,0.3610,0.4200,0.4200,1705400"
"Dec 6, 2024,0.4560,0.4980,0.4500,0.4900,0.4900,987900"
"Dec 5, 2024,0.4750,0.4860,0.4420,0.4600,0.4600,1330400"
"Dec 4, 2024,0.4370,0.5400,0.4370,0.4940,0.4940,12594300"
"Dec 3, 2024,0.5640,0.5800,0.4110,0.4200,0.4200,4878400"
"Dec 2, 2024,0.5000,0.8600,0.4820,0.7450,0.7450,56748400"
"Nov 29, 2024,0.3800,0.4910,0.3800,0.4640,0.4640,2510300"
"Nov 27, 2024,0.3790,0.3800,0.3680,0.3780,0.3780,172700"
"Nov 26, 2024,0.3780,0.3930,0.3600,0.3720,0.3720,400100"
"Nov 25, 2024,0.3900,0.3950,0.3780,0.3780,0.3780,272100"
"Nov 22, 2024,0.3940,0.4070,0.3840,0.3930,0.3930,195300"
"Nov 21, 2024,0.3800,0.4000,0.3800,0.3940,0.3940,307500"
"Nov 20, 2024,0.4100,0.4100,0.3840,0.4000,0.4000,286500"
"Nov 19, 2024,0.3930,0.4100,0.3900,0.4030,0.4030,254700"
"Nov 18, 2024,0.3950,0.4170,0.3030,0.4050,0.4050,554400"
"Nov 15, 2024,0.4150,0.4180,0.3700,0.3900,0.3900,483800"
"Nov 14, 2024,0.4430,0.4490,0.4000,0.4140,0.4140,1167500"
"Nov 13, 2024,0.4750,0.4750,0.4250,0.4430,0.4430,553100"
"Nov 12, 2024,0.4480,0.4800,0.4390,0.4750,0.4750,394400"
"Nov 11, 2024,0.4650,0.4800,0.4330,0.4480,0.4480,641900"
"Nov 8, 2024,0.4900,0.5070,0.4700,0.4960,0.4960,625000"
"Nov 7, 2024,0.5380,0.5400,0.5210,0.5380,0.5380,215700"
"Nov 6, 2024,0.5080,0.5410,0.5020,0.5380,0.5380,362700"
"Nov 5, 2024,0.5130,0.5400,0.4200,0.5230,0.5230,518300"
"Nov 4, 2024,0.5200,0.5280,0.5020,0.5170,0.5170,199200"
"Nov 1, 2024,0.5110,0.5200,0.5070,0.5120,0.5120,219900"
"Oct 31, 2024,0.5110,0.5350,0.5000,0.5190,0.5190,178000"
"Oct 30, 2024,0.5130,0.5400,0.5100,0.5170,0.5170,308100"
"Oct 29, 2024,0.5580,0.5600,0.5240,0.5310,0.5310,344500"
"Oct 28, 2024,0.4900,0.5800,0.4900,0.5610,0.5610,855400"
"Oct 25, 2024,0.5490,0.5500,0.5160,0.5180,0.5180,315400"
"Oct 24, 2024,0.5370,0.5560,0.5210,0.5500,0.5500,566000"
"Oct 23, 2024,0.5800,0.5840,0.5430,0.5430,0.5430,1093100"
"Oct 22, 2024,0.5860,0.6000,0.5800,0.5980,0.5980,292100"
"Oct 21, 2024,0.5990,0.6230,0.5850,0.5980,0.5980,662300"
"Oct 18, 2024,0.5700,0.6000,0.5700,0.5890,0.5890,348200"
"Oct 17, 2024,0.5890,0.6040,0.5760,0.5830,0.5830,325000"
"Oct 16, 2024,0.5700,0.6110,0.5700,0.5890,0.5890,608500"
"Oct 15, 2024,0.6050,0.6100,0.5800,0.5800,0.5800,540900"
"Oct 14, 2024,0.6200,0.6290,0.5900,0.6110,0.6110,417500"
"Oct 11, 2024,0.5900,0.6360,0.5810,0.6180,0.6180,690100"
"Oct 10, 2024,0.5900,0.6000,0.5750,0.5900,0.5900,407200"
"Oct 9, 2024,0.5700,0.5900,0.5700,0.5800,0.5800,255800"
"Oct 8, 2024,0.5700,0.5800,0.5600,0.5650,0.5650,455000"
"Oct 7, 2024,0.5350,0.5700,0.5350,0.5700,0.5700,316600"
"Oct 4, 2024,0.5000,0.5400,0.4900,0.5200,0.5200,576700"
"Oct 3, 2024,0.5200,0.5350,0.5100,0.5300,0.5300,399400"
"Oct 2, 2024,0.5250,0.5450,0.5100,0.5250,0.5250,488600"
"Oct 1, 2024,0.4900,0.5350,0.4850,0.5300,0.5300,531000"
"Sep 30, 2024,0.4800,0.5000,0.4700,0.4950,0.4950,438200"