x-coordinate,Character,y-coordinate
93,_,5
2,_,5
8,_,0
39,_,1
64,_,0
63,_,1
84,_,3
9,_,4
55,_,1
23,_,4
91,_,5
21,_,5
79,_,1
65,_,1
52,_,5
49,_,5
24,_,1
42,_,5
6,_,3
24,_,2
0,_,4
65,_,3
74,_,5
36,_,6
22,_,1
62,_,3
24,_,5
58,_,5
35,_,6
55,_,3
20,_,0
88,_,3
46,_,6
8,_,5
13,_,1
76,_,4
54,_,1
2,_,0
91,_,4
34,_,6
80,_,0
12,_,5
14,_,3
1,_,2
67,_,5
93,_,1
48,_,5
79,_,0
13,_,5
39,_,5
48,_,6
12,_,3
92,_,5
52,_,4
55,_,2
61,_,5
66,_,4
7,_,6
83,_,4
33,_,0
85,_,2
56,_,0
32,_,6
72,_,5
23,_,1
40,_,3
1,_,6
28,_,0
61,_,2
19,_,6
63,_,2
41,_,2
77,_,3
57,_,3
26,_,4
38,_,3
74,_,3
84,_,4
19,_,0
9,_,1
39,_,2
1,_,3
60,_,3
28,_,2
26,_,1
14,_,0
23,_,5
30,_,6
18,_,0
53,_,2
17,_,6
4,_,0
78,_,4
29,_,6
0,_,5
22,_,2
59,_,4
85,_,1
2,_,1
77,_,4
53,_,1
67,_,6
81,_,6
47,_,5
22,_,0
5,_,0
76,_,3
43,_,0
8,_,2
1,_,4
60,_,2
32,_,0
27,_,5
15,_,0
0,_,6
41,_,4
85,_,5
84,_,1
41,_,6
62,_,1
63,_,0
92,_,2
84,_,2
42,_,0
77,_,5
43,_,6
66,_,5
15,_,6
28,_,1
91,_,0
54,_,3
71,_,0
2,_,3
29,_,3
73,_,0
84,_,5
83,_,6
6,_,0
8,_,1
26,_,0
93,_,0
47,_,6
3,_,3
47,_,1
84,_,0
87,_,3
41,_,0
16,_,6
41,_,5
86,_,3
4,_,6
61,_,4
8,_,4
62,_,4
57,_,2
60,_,4
40,_,2
31,_,3
76,_,2
27,_,2
40,_,4
70,_,6
41,_,1
71,_,6
68,_,6
53,_,3
45,_,0
78,_,2
10,_,4
23,_,2
48,_,0
48,_,1
12,_,2
14,_,6
54,_,5
73,_,1
14,_,5
40,_,1
65,_,5
66,_,6
70,_,0
38,_,4
26,_,5
26,_,6
53,_,6
10,_,5
46,_,0
90,_,3
51,_,5
1,_,5
8,_,3
73,_,4
52,_,6
85,_,3
72,_,1
64,_,2
47,_,0
8,_,6
74,_,1
31,_,0
9,_,2
9,_,5
72,_,6
78,_,5
57,_,1
12,_,1
58,_,4
92,_,3
10,_,2
58,_,3
32,_,3
83,_,1
79,_,5
64,_,4
21,_,6
5,_,6
3,_,6
24,_,3
2,_,2
77,_,2
78,_,6
34,_,0
28,_,3
27,_,6
56,_,2
22,_,5
14,_,4
93,_,3
30,_,3
7,_,3
49,_,1
18,_,6
27,_,0
15,_,1
67,_,4
85,_,4
66,_,3
73,_,6
35,_,0
60,_,5
72,_,0
73,_,5
91,_,3
36,_,0
91,_,2
64,_,1
24,_,4
74,_,4
53,_,5
56,_,1
59,_,5
80,_,6
62,_,2
30,_,0
85,_,6
21,_,1
44,_,0
75,_,4
91,_,1
44,_,6
83,_,5
12,_,4
51,_,6
17,_,0
65,_,2
54,_,0
45,_,6
0,_,1
38,_,2
13,_,3
91,_,6
0,_,2
92,_,6
92,_,1
29,_,0
1,_,1
92,_,4
39,_,3
93,_,6
57,_,4
84,_,6
26,_,2
83,_,0
22,_,4
34,_,3
92,_,0
65,_,4
65,_,6
54,_,4
31,_,6
55,_,0
4,_,3
28,_,6
85,_,0
2,_,6
10,_,1
58,_,2
0,_,3
27,_,4
0,_,0
23,_,3
1,_,0
83,_,3
22,_,6
21,_,0
33,_,6
73,_,2
7,_,0
78,_,1
26,_,3
81,_,0
52,_,3
61,_,1
28,_,5
3,_,0
14,_,2
20,_,6
33,_,3
2,_,4
53,_,4
22,_,3
15,_,5
54,_,2
42,_,1
6,_,6
5,_,3
74,_,2
93,_,4
27,_,3
77,_,1
39,_,4
78,_,0
62,_,0
13,_,2
75,_,2
75,_,3
93,_,2
89,_,3
79,_,6
64,_,3
16,_,0
59,_,3
40,_,5
13,_,4
83,_,2
27,_,1
61,_,3
28,_,4
14,_,1
42,_,6